Time_1s,Driver_ID,LapID,GPS Longitude,GPS Latitude,GPS Bearing,Accelerometer (Total),Accelerometer (X),Accelerometer (Y),Accelerometer (Z),Coolant,RPM,Altitude(GPS),OBD Speed,kff1298,Torque,F_M,AuthorisedClass,Throttle_Position,Engine_Load,Intake_Air_Temp,Catalyst_Temperature,Gear,Trip_Distance_m,Timestamp
0,SimDriver_01,1,0,0,0,0,0,0,0,25.1,1000,100,0.1,0,30.0,0,Car,10.0,10.0,22.5,103.7,1,0.0,2024-03-25 08:00:00
1,SimDriver_01,1,0,0,0,0,0,0,0,25.3,1200,100,0.3,0,62.6,0,Car,20.0,20.9,22.5,107.7,1,0.1,2024-03-25 08:00:01
2,SimDriver_01,1,0,0,0,0,0,0,0,25.5,1400,100,0.6,0,79.9,0,Car,30.0,26.6,22.5,111.8,1,0.3,2024-03-25 08:00:02
3,SimDriver_01,1,0,0,0,0,0,0,0,25.7,1600,100,1.0,0,93.3,0,Car,40.0,31.1,22.5,116.1,1,0.6,2024-03-25 08:00:03
4,SimDriver_01,1,0,0,0,0,0,0,0,25.9,800,100,1.5,0,128.1,0,Car,50.0,42.7,22.5,120.2,1,1.0,2024-03-25 08:00:04
5,SimDriver_01,1,0,0,0,0,0,0,0,26.0,800,100,2.1,0,147.6,0,Car,60.0,49.2,22.5,124.4,1,1.6,2024-03-25 08:00:05
6,SimDriver_01,1,0,0,0,0,0,0,0,26.1,800,100,2.8,0,164.5,0,Car,70.0,54.8,22.5,128.7,1,2.3,2024-03-25 08:00:06
7,SimDriver_01,1,0,0,0,0,0,0,0,26.2,800,100,3.6,0,204.0,0,Car,80.0,68.0,22.4,133.1,1,3.3,2024-03-25 08:00:07
8,SimDriver_01,1,0,0,0,0,0,0,0,26.4,800,100,4.5,0,225.8,0,Car,90.0,75.3,22.4,137.7,1,4.6,2024-03-25 08:00:08
9,SimDriver_01,1,0,0,0,0,0,0,0,26.5,800,100,5.4,0,245.7,0,Car,100.0,81.9,22.4,142.4,1,6.1,2024-03-25 08:00:09
10,SimDriver_01,1,0,0,0,0,0,0,0,26.6,800,100,6.4,0,250.4,0,Car,100.0,83.5,22.3,147.0,1,7.8,2024-03-25 08:00:10
11,SimDriver_01,1,0,0,0,0,0,0,0,26.8,800,100,7.4,0,247.7,0,Car,100.0,82.6,22.3,151.6,1,9.9,2024-03-25 08:00:11
12,SimDriver_01,1,0,0,0,0,0,0,0,26.9,903,100,8.3,0,255.5,0,Car,100.0,85.2,22.3,156.2,1,12.2,2024-03-25 08:00:12
13,SimDriver_01,1,0,0,0,0,0,0,0,27.1,1006,100,9.3,0,247.9,0,Car,100.0,82.6,22.2,160.8,1,14.8,2024-03-25 08:00:13
14,SimDriver_01,1,0,0,0,0,0,0,0,27.2,1110,100,10.3,0,229.2,0,Car,100.0,76.4,22.2,165.3,1,17.6,2024-03-25 08:00:14
15,SimDriver_01,1,0,0,0,0,0,0,0,27.4,1213,100,11.2,0,250.5,0,Car,100.0,83.5,22.2,169.9,1,20.7,2024-03-25 08:00:15
16,SimDriver_01,1,0,0,0,0,0,0,0,27.6,1315,100,12.1,0,256.3,0,Car,100.0,85.4,22.1,174.6,1,24.1,2024-03-25 08:00:16
17,SimDriver_01,1,0,0,0,0,0,0,0,27.8,1416,100,13.1,0,257.3,0,Car,100.0,85.8,22.1,179.3,1,27.8,2024-03-25 08:00:17
18,SimDriver_01,1,0,0,0,0,0,0,0,28.0,1518,100,14.0,0,243.4,0,Car,100.0,81.1,22.1,183.9,1,31.7,2024-03-25 08:00:18
19,SimDriver_01,1,0,0,0,0,0,0,0,28.2,1618,100,14.9,0,245.5,0,Car,100.0,81.8,22.1,188.5,1,35.8,2024-03-25 08:00:19
20,SimDriver_01,1,0,0,0,0,0,0,0,28.3,982,100,15.9,0,254.1,0,Car,100.0,84.7,22.0,192.8,2,40.2,2024-03-25 08:00:20
21,SimDriver_01,1,0,0,0,0,0,0,0,28.5,1039,100,16.8,0,250.3,0,Car,100.0,83.4,22.0,197.0,2,44.9,2024-03-25 08:00:21
22,SimDriver_01,1,0,0,0,0,0,0,0,28.6,1096,100,17.7,0,259.1,0,Car,100.0,86.4,22.0,201.3,2,49.8,2024-03-25 08:00:22
23,SimDriver_01,1,0,0,0,0,0,0,0,28.8,1152,100,18.6,0,249.0,0,Car,100.0,83.0,21.9,205.6,2,55.0,2024-03-25 08:00:23
24,SimDriver_01,1,0,0,0,0,0,0,0,29.0,1208,100,19.5,0,240.4,0,Car,100.0,80.1,21.9,209.7,2,60.4,2024-03-25 08:00:24
25,SimDriver_01,1,0,0,0,0,0,0,0,29.1,1264,100,20.4,0,235.7,0,Car,100.0,78.6,21.9,213.8,2,66.1,2024-03-25 08:00:25
26,SimDriver_01,1,0,0,0,0,0,0,0,29.3,1320,100,21.3,0,254.8,0,Car,100.0,84.9,21.9,218.0,2,72.0,2024-03-25 08:00:26
27,SimDriver_01,1,0,0,0,0,0,0,0,29.5,1375,100,22.2,0,244.6,0,Car,100.0,81.5,21.8,222.2,2,78.2,2024-03-25 08:00:27
28,SimDriver_01,1,0,0,0,0,0,0,0,29.7,1430,100,23.1,0,235.5,0,Car,100.0,78.5,21.8,226.2,2,84.6,2024-03-25 08:00:28
29,SimDriver_01,1,0,0,0,0,0,0,0,29.9,1485,100,24.0,0,245.4,0,Car,100.0,81.8,21.8,230.4,2,91.2,2024-03-25 08:00:29
30,SimDriver_01,1,0,0,0,0,0,0,0,30.1,1539,100,24.9,0,255.4,0,Car,100.0,85.1,21.8,234.5,2,98.2,2024-03-25 08:00:30
31,SimDriver_01,1,0,0,0,0,0,0,0,30.3,1593,100,25.7,0,248.1,0,Car,100.0,82.7,21.7,238.6,2,105.3,2024-03-25 08:00:31
32,SimDriver_01,1,0,0,0,0,0,0,0,30.5,1647,100,26.6,0,259.0,0,Car,100.0,86.3,21.7,242.8,2,112.7,2024-03-25 08:00:32
33,SimDriver_01,1,0,0,0,0,0,0,0,30.8,1701,100,27.5,0,255.1,0,Car,100.0,85.0,21.7,246.9,2,120.3,2024-03-25 08:00:33
34,SimDriver_01,1,0,0,0,0,0,0,0,31.0,1754,100,28.4,0,251.5,0,Car,100.0,83.8,21.7,251.0,2,128.2,2024-03-25 08:00:34
35,SimDriver_01,1,0,0,0,0,0,0,0,31.2,1807,100,29.2,0,237.3,0,Car,100.0,79.1,21.7,255.0,2,136.3,2024-03-25 08:00:35
36,SimDriver_01,1,0,0,0,0,0,0,0,31.4,1302,100,30.1,0,239.6,0,Car,100.0,79.9,21.6,258.7,3,144.7,2024-03-25 08:00:36
37,SimDriver_01,1,0,0,0,0,0,0,0,31.6,1339,100,30.9,0,236.3,0,Car,100.0,78.8,21.6,262.3,3,153.3,2024-03-25 08:00:37
38,SimDriver_01,1,0,0,0,0,0,0,0,31.8,1375,100,31.8,0,237.2,0,Car,100.0,79.1,21.6,266.0,3,162.1,2024-03-25 08:00:38
39,SimDriver_01,1,0,0,0,0,0,0,0,32.0,1412,100,32.6,0,254.1,0,Car,100.0,84.7,21.6,269.7,3,171.1,2024-03-25 08:00:39
40,SimDriver_01,1,0,0,0,0,0,0,0,32.1,1448,100,33.4,0,237.1,0,Car,100.0,79.0,21.5,273.3,3,180.4,2024-03-25 08:00:40
41,SimDriver_01,1,0,0,0,0,0,0,0,32.3,1484,100,34.3,0,240.0,0,Car,100.0,80.0,21.5,276.9,3,189.9,2024-03-25 08:00:41
42,SimDriver_01,1,0,0,0,0,0,0,0,32.5,1520,100,35.1,0,246.6,0,Car,100.0,82.2,21.5,280.6,3,199.7,2024-03-25 08:00:42
43,SimDriver_01,1,0,0,0,0,0,0,0,32.8,1556,100,35.9,0,253.1,0,Car,100.0,84.4,21.5,284.2,3,209.7,2024-03-25 08:00:43
44,SimDriver_01,1,0,0,0,0,0,0,0,33.0,1591,100,36.7,0,257.0,0,Car,100.0,85.7,21.5,287.9,3,219.9,2024-03-25 08:00:44
45,SimDriver_01,1,0,0,0,0,0,0,0,33.2,1627,100,37.6,0,265.3,0,Car,100.0,88.4,21.4,291.6,3,230.3,2024-03-25 08:00:45
46,SimDriver_01,1,0,0,0,0,0,0,0,33.4,1662,100,38.4,0,243.7,0,Car,100.0,81.2,21.4,295.1,3,241.0,2024-03-25 08:00:46
47,SimDriver_01,1,0,0,0,0,0,0,0,33.6,1697,100,39.2,0,266.3,0,Car,100.0,88.8,21.4,298.8,3,251.9,2024-03-25 08:00:47
48,SimDriver_01,1,0,0,0,0,0,0,0,33.8,1732,100,40.0,0,249.9,0,Car,100.0,83.3,21.4,302.4,3,263.0,2024-03-25 08:00:48
49,SimDriver_01,1,0,0,0,0,0,0,0,34.1,1766,100,40.8,0,260.2,0,Car,100.0,86.7,21.4,306.0,3,274.3,2024-03-25 08:00:49
50,SimDriver_01,1,0,0,0,0,0,0,0,34.3,1801,100,41.6,0,264.4,0,Car,100.0,88.1,21.4,309.6,3,285.8,2024-03-25 08:00:50
51,SimDriver_01,1,0,0,0,0,0,0,0,34.5,1835,100,42.4,0,239.6,0,Car,100.0,79.9,21.3,313.0,3,297.6,2024-03-25 08:00:51
52,SimDriver_01,1,0,0,0,0,0,0,0,34.8,1869,100,43.2,0,240.2,0,Car,100.0,80.1,21.3,316.4,3,309.6,2024-03-25 08:00:52
53,SimDriver_01,1,0,0,0,0,0,0,0,35.0,1903,100,43.9,0,243.0,0,Car,100.0,81.0,21.3,319.8,3,321.8,2024-03-25 08:00:53
54,SimDriver_01,1,0,0,0,0,0,0,0,35.2,1937,100,44.7,0,246.5,0,Car,100.0,82.2,21.3,323.2,3,334.2,2024-03-25 08:00:54
55,SimDriver_01,1,0,0,0,0,0,0,0,35.5,1971,100,45.5,0,243.5,0,Car,100.0,81.2,21.3,326.6,3,346.9,2024-03-25 08:00:55
56,SimDriver_01,1,0,0,0,0,0,0,0,35.7,2004,100,46.3,0,242.3,0,Car,100.0,80.8,21.3,329.9,3,359.7,2024-03-25 08:00:56
57,SimDriver_01,1,0,0,0,0,0,0,0,36.0,2038,100,47.0,0,260.1,0,Car,100.0,86.7,21.2,333.4,3,372.8,2024-03-25 08:00:57
58,SimDriver_01,1,0,0,0,0,0,0,0,36.3,2071,100,47.8,0,241.6,0,Car,100.0,80.5,21.2,336.7,3,386.1,2024-03-25 08:00:58
59,SimDriver_01,1,0,0,0,0,0,0,0,36.5,2104,100,48.6,0,266.9,0,Car,100.0,89.0,21.2,340.2,3,399.6,2024-03-25 08:00:59
60,SimDriver_01,1,0,0,0,0,0,0,0,36.8,2137,100,49.3,0,245.2,0,Car,100.0,81.7,21.2,343.5,3,413.3,2024-03-25 08:01:00
61,SimDriver_01,1,0,0,0,0,0,0,0,37.0,1549,100,50.1,0,258.9,0,Car,100.0,86.3,21.2,346.5,4,427.2,2024-03-25 08:01:01
62,SimDriver_01,1,0,0,0,0,0,0,0,37.2,1572,100,50.8,0,268.6,0,Car,100.0,89.5,21.2,349.6,4,441.3,2024-03-25 08:01:02
63,SimDriver_01,1,0,0,0,0,0,0,0,37.4,1596,100,51.6,0,270.3,0,Car,100.0,90.1,21.2,352.8,4,455.6,2024-03-25 08:01:03
64,SimDriver_01,1,0,0,0,0,0,0,0,37.6,1618,100,52.3,0,254.1,0,Car,100.0,84.7,21.1,355.7,4,470.1,2024-03-25 08:01:04
65,SimDriver_01,1,0,0,0,0,0,0,0,37.8,1641,100,53.1,0,244.6,0,Car,100.0,81.5,21.1,358.6,4,484.9,2024-03-25 08:01:05
66,SimDriver_01,1,0,0,0,0,0,0,0,38.0,1664,100,53.8,0,269.3,0,Car,100.0,89.8,21.1,361.7,4,499.8,2024-03-25 08:01:06
67,SimDriver_01,1,0,0,0,0,0,0,0,38.3,1687,100,54.5,0,263.4,0,Car,100.0,87.8,21.1,364.6,4,515.0,2024-03-25 08:01:07
68,SimDriver_01,1,0,0,0,0,0,0,0,38.5,1709,100,55.2,0,268.5,0,Car,100.0,89.5,21.1,367.6,4,530.3,2024-03-25 08:01:08
69,SimDriver_01,1,0,0,0,0,0,0,0,38.7,1732,100,56.0,0,242.1,0,Car,100.0,80.7,21.1,370.4,4,545.9,2024-03-25 08:01:09
70,SimDriver_01,1,0,0,0,0,0,0,0,38.9,1754,100,56.7,0,264.3,0,Car,100.0,88.1,21.1,373.4,4,561.6,2024-03-25 08:01:10
71,SimDriver_01,1,0,0,0,0,0,0,0,39.2,1776,100,57.4,0,266.3,0,Car,100.0,88.8,21.0,376.3,4,577.6,2024-03-25 08:01:11
72,SimDriver_01,1,0,0,0,0,0,0,0,39.4,1798,100,58.1,0,267.8,0,Car,100.0,89.3,21.0,379.2,4,593.7,2024-03-25 08:01:12
73,SimDriver_01,1,0,0,0,0,0,0,0,39.6,1820,100,58.8,0,261.5,0,Car,100.0,87.2,21.0,382.1,4,610.0,2024-03-25 08:01:13
74,SimDriver_01,1,0,0,0,0,0,0,0,39.9,1842,100,59.5,0,243.0,0,Car,100.0,81.0,21.0,384.8,4,626.6,2024-03-25 08:01:14
75,SimDriver_01,1,0,0,0,0,0,0,0,40.1,1864,100,60.2,0,244.1,0,Car,100.0,81.4,21.0,387.5,4,643.3,2024-03-25 08:01:15
76,SimDriver_01,1,0,0,0,0,0,0,0,40.3,1885,100,60.9,0,261.2,0,Car,100.0,87.1,21.0,390.3,4,660.2,2024-03-25 08:01:16
77,SimDriver_01,1,0,0,0,0,0,0,0,40.6,1907,100,61.6,0,260.6,0,Car,100.0,86.9,21.0,393.1,4,677.4,2024-03-25 08:01:17
78,SimDriver_01,1,0,0,0,0,0,0,0,40.8,1928,100,62.3,0,257.5,0,Car,100.0,85.8,21.0,395.9,4,694.7,2024-03-25 08:01:18
79,SimDriver_01,1,0,0,0,0,0,0,0,41.1,1950,100,63.0,0,253.7,0,Car,100.0,84.6,21.0,398.6,4,712.2,2024-03-25 08:01:19
80,SimDriver_01,1,0,0,0,0,0,0,0,41.3,1971,100,63.7,0,269.1,0,Car,100.0,89.7,20.9,401.4,4,729.9,2024-03-25 08:01:20
81,SimDriver_01,1,0,0,0,0,0,0,0,41.6,1992,100,64.4,0,253.3,0,Car,100.0,84.4,20.9,404.0,4,747.8,2024-03-25 08:01:21
82,SimDriver_01,1,0,0,0,0,0,0,0,41.8,2013,100,65.1,0,264.7,0,Car,100.0,88.2,20.9,406.8,4,765.8,2024-03-25 08:01:22
83,SimDriver_01,1,0,0,0,0,0,0,0,42.1,2034,100,65.7,0,265.7,0,Car,100.0,88.6,20.9,409.5,4,784.1,2024-03-25 08:01:23
84,SimDriver_01,1,0,0,0,0,0,0,0,42.3,2054,100,66.4,0,263.5,0,Car,100.0,87.8,20.9,412.2,4,802.5,2024-03-25 08:01:24
85,SimDriver_01,1,0,0,0,0,0,0,0,42.6,2075,100,67.1,0,249.0,0,Car,100.0,83.0,20.9,414.8,4,821.2,2024-03-25 08:01:25
86,SimDriver_01,1,0,0,0,0,0,0,0,42.8,2096,100,67.7,0,265.1,0,Car,100.0,88.4,20.9,417.4,4,840.0,2024-03-25 08:01:26
87,SimDriver_01,1,0,0,0,0,0,0,0,43.1,2116,100,68.4,0,258.4,0,Car,100.0,86.1,20.9,420.0,4,859.0,2024-03-25 08:01:27
88,SimDriver_01,1,0,0,0,0,0,0,0,43.4,2137,100,69.1,0,274.7,0,Car,100.0,91.6,20.9,422.7,4,878.2,2024-03-25 08:01:28
89,SimDriver_01,1,0,0,0,0,0,0,0,43.6,2157,100,69.7,0,263.3,0,Car,100.0,87.8,20.9,425.3,4,897.5,2024-03-25 08:01:29
90,SimDriver_01,1,0,0,0,0,0,0,0,43.8,1741,100,70.4,0,259.1,0,Car,100.0,86.4,20.9,427.7,5,917.1,2024-03-25 08:01:30
91,SimDriver_01,1,0,0,0,0,0,0,0,44.1,1758,100,71.0,0,266.8,0,Car,100.0,88.9,20.9,430.1,5,936.8,2024-03-25 08:01:31
92,SimDriver_01,1,0,0,0,0,0,0,0,44.3,1773,100,71.7,0,276.1,0,Car,100.0,92.0,20.8,432.5,5,956.7,2024-03-25 08:01:32
