Time_1s,Driver_ID,LapID,GPS Longitude,GPS Latitude,GPS Bearing,Accelerometer (Total),Accelerometer (X),Accelerometer (Y),Accelerometer (Z),Coolant,RPM,Altitude(GPS),OBD Speed,kff1298,Torque,F_M,AuthorisedClass,Throttle_Position,Engine_Load,Intake_Air_Temp,Catalyst_Temperature,Gear,Trip_Distance_m,Timestamp
0,SimDriver_01,1,0,0,0,0,0,0,0,25.1,850,100,0.0,0,30.0,0,Car,2.5,10.0,22.5,103.6,1,0.0,2024-03-04 08:00:00
1,SimDriver_01,1,0,0,0,0,0,0,0,25.3,900,100,0.1,0,30.0,0,Car,5.0,10.0,22.5,107.2,1,0.0,2024-03-04 08:00:01
2,SimDriver_01,1,0,0,0,0,0,0,0,25.4,950,100,0.1,0,30.0,0,Car,7.5,10.0,22.5,110.8,1,0.1,2024-03-04 08:00:02
3,SimDriver_01,1,0,0,0,0,0,0,0,25.6,1000,100,0.2,0,30.0,0,Car,10.0,10.0,22.5,114.4,1,0.1,2024-03-04 08:00:03
4,SimDriver_01,1,0,0,0,0,0,0,0,25.7,1050,100,0.4,0,30.0,0,Car,12.5,10.0,22.6,118.0,1,0.2,2024-03-04 08:00:04
5,SimDriver_01,1,0,0,0,0,0,0,0,25.9,1100,100,0.5,0,38.5,0,Car,15.0,12.8,22.6,121.6,1,0.4,2024-03-04 08:00:05
6,SimDriver_01,1,0,0,0,0,0,0,0,26.1,1150,100,0.7,0,46.6,0,Car,17.5,15.5,22.6,125.3,1,0.6,2024-03-04 08:00:06
7,SimDriver_01,1,0,0,0,0,0,0,0,26.2,1200,100,0.9,0,55.2,0,Car,20.0,18.4,22.6,129.0,1,0.8,2024-03-04 08:00:07
8,SimDriver_01,1,0,0,0,0,0,0,0,26.4,800,100,1.1,0,63.0,0,Car,22.5,21.0,22.6,132.6,1,1.1,2024-03-04 08:00:08
9,SimDriver_01,1,0,0,0,0,0,0,0,26.5,800,100,1.4,0,73.9,0,Car,25.0,24.6,22.6,136.1,1,1.5,2024-03-04 08:00:09
10,SimDriver_01,1,0,0,0,0,0,0,0,26.6,800,100,1.6,0,69.0,0,Car,27.5,23.0,22.6,139.6,1,2.0,2024-03-04 08:00:10
11,SimDriver_01,1,0,0,0,0,0,0,0,26.7,800,100,1.9,0,74.9,0,Car,30.0,25.0,22.6,143.1,1,2.5,2024-03-04 08:00:11
12,SimDriver_01,1,0,0,0,0,0,0,0,26.9,800,100,2.3,0,79.5,0,Car,32.5,26.5,22.6,146.6,1,3.1,2024-03-04 08:00:12
13,SimDriver_01,1,0,0,0,0,0,0,0,27.0,800,100,2.6,0,95.0,0,Car,35.0,31.7,22.6,150.2,1,3.9,2024-03-04 08:00:13
14,SimDriver_01,1,0,0,0,0,0,0,0,27.1,800,100,3.0,0,81.0,0,Car,37.5,27.0,22.6,153.6,1,4.7,2024-03-04 08:00:14
15,SimDriver_01,1,0,0,0,0,0,0,0,27.3,800,100,3.4,0,109.5,0,Car,40.0,36.5,22.6,157.2,1,5.6,2024-03-04 08:00:15
16,SimDriver_01,1,0,0,0,0,0,0,0,27.4,800,100,3.8,0,114.9,0,Car,42.5,38.3,22.5,160.8,1,6.7,2024-03-04 08:00:16
17,SimDriver_01,1,0,0,0,0,0,0,0,27.5,800,100,4.2,0,122.1,0,Car,45.0,40.7,22.5,164.4,1,7.9,2024-03-04 08:00:17
18,SimDriver_01,1,0,0,0,0,0,0,0,27.6,800,100,4.7,0,129.8,0,Car,47.5,43.3,22.5,168.0,1,9.2,2024-03-04 08:00:18
19,SimDriver_01,1,0,0,0,0,0,0,0,27.8,800,100,5.2,0,113.4,0,Car,50.0,37.8,22.5,171.5,1,10.6,2024-03-04 08:00:19
20,SimDriver_01,1,0,0,0,0,0,0,0,27.9,800,100,5.7,0,123.6,0,Car,52.5,41.2,22.5,175.0,1,12.2,2024-03-04 08:00:20
21,SimDriver_01,1,0,0,0,0,0,0,0,28.0,800,100,6.2,0,122.7,0,Car,55.0,40.9,22.5,178.5,1,13.9,2024-03-04 08:00:21
22,SimDriver_01,1,0,0,0,0,0,0,0,28.2,800,100,6.8,0,139.0,0,Car,57.5,46.3,22.5,182.0,1,15.8,2024-03-04 08:00:22
23,SimDriver_01,1,0,0,0,0,0,0,0,28.3,800,100,7.4,0,152.5,0,Car,60.0,50.8,22.5,185.6,1,17.9,2024-03-04 08:00:23
24,SimDriver_01,1,0,0,0,0,0,0,0,28.4,863,100,8.0,0,166.5,0,Car,62.5,55.5,22.4,189.3,1,20.1,2024-03-04 08:00:24
25,SimDriver_01,1,0,0,0,0,0,0,0,28.6,930,100,8.6,0,144.0,0,Car,65.0,48.0,22.4,192.8,1,22.5,2024-03-04 08:00:25
