Time_1s,Driver_ID,LapID,GPS Longitude,GPS Latitude,GPS Bearing,Accelerometer (Total),Accelerometer (X),Accelerometer (Y),Accelerometer (Z),Coolant,RPM,Altitude(GPS),OBD Speed,kff1298,Torque,F_M,AuthorisedClass,Throttle_Position,Engine_Load,Intake_Air_Temp,Catalyst_Temperature,Gear,Trip_Distance_m,Timestamp
0,SimDriver_01,1,0,0,0,0,0,0,0,25.1,850,100,0.0,0,30.0,0,Car,2.5,10.0,22.5,103.6,1,0.0,2024-01-15 08:00:00
1,SimDriver_01,1,0,0,0,0,0,0,0,25.3,900,100,0.1,0,30.0,0,Car,5.0,10.0,22.5,107.2,1,0.0,2024-01-15 08:00:01
2,SimDriver_01,1,0,0,0,0,0,0,0,25.4,950,100,0.1,0,30.0,0,Car,7.5,10.0,22.5,110.8,1,0.1,2024-01-15 08:00:02
3,SimDriver_01,1,0,0,0,0,0,0,0,25.6,1000,100,0.2,0,30.0,0,Car,10.0,10.0,22.5,114.4,1,0.1,2024-01-15 08:00:03
4,SimDriver_01,1,0,0,0,0,0,0,0,25.7,1050,100,0.4,0,30.0,0,Car,12.5,10.0,22.6,118.0,1,0.2,2024-01-15 08:00:04
5,SimDriver_01,1,0,0,0,0,0,0,0,25.9,1100,100,0.5,0,43.5,0,Car,15.0,14.5,22.6,121.7,1,0.4,2024-01-15 08:00:05
6,SimDriver_01,1,0,0,0,0,0,0,0,26.1,1150,100,0.7,0,34.3,0,Car,17.5,11.4,22.6,125.3,1,0.6,2024-01-15 08:00:06
7,SimDriver_01,1,0,0,0,0,0,0,0,26.2,1200,100,0.9,0,43.0,0,Car,20.0,14.3,22.6,128.9,1,0.8,2024-01-15 08:00:07
8,SimDriver_01,1,0,0,0,0,0,0,0,26.4,800,100,1.1,0,40.6,0,Car,22.5,13.5,22.6,132.3,1,1.1,2024-01-15 08:00:08
9,SimDriver_01,1,0,0,0,0,0,0,0,26.5,800,100,1.4,0,54.9,0,Car,25.0,18.3,22.6,135.7,1,1.5,2024-01-15 08:00:09
10,SimDriver_01,1,0,0,0,0,0,0,0,26.6,800,100,1.6,0,70.4,0,Car,27.5,23.5,22.6,139.2,1,2.0,2024-01-15 08:00:10
11,SimDriver_01,1,0,0,0,0,0,0,0,26.7,800,100,1.9,0,86.3,0,Car,30.0,28.8,22.6,142.8,1,2.5,2024-01-15 08:00:11
12,SimDriver_01,1,0,0,0,0,0,0,0,26.9,800,100,2.3,0,78.1,0,Car,32.5,26.0,22.6,146.3,1,3.1,2024-01-15 08:00:12
13,SimDriver_01,1,0,0,0,0,0,0,0,27.0,800,100,2.6,0,71.4,0,Car,35.0,23.8,22.6,149.7,1,3.9,2024-01-15 08:00:13
14,SimDriver_01,1,0,0,0,0,0,0,0,27.1,800,100,3.0,0,88.6,0,Car,37.5,29.5,22.6,153.2,1,4.7,2024-01-15 08:00:14
15,SimDriver_01,1,0,0,0,0,0,0,0,27.3,800,100,3.4,0,103.1,0,Car,40.0,34.4,22.6,156.8,1,5.6,2024-01-15 08:00:15
16,SimDriver_01,1,0,0,0,0,0,0,0,27.4,800,100,3.8,0,118.0,0,Car,42.5,39.3,22.5,160.4,1,6.7,2024-01-15 08:00:16
17,SimDriver_01,1,0,0,0,0,0,0,0,27.5,800,100,4.2,0,120.6,0,Car,45.0,40.2,22.5,164.0,1,7.9,2024-01-15 08:00:17
18,SimDriver_01,1,0,0,0,0,0,0,0,27.6,800,100,4.7,0,126.1,0,Car,47.5,42.0,22.5,167.6,1,9.2,2024-01-15 08:00:18
19,SimDriver_01,1,0,0,0,0,0,0,0,27.8,800,100,5.2,0,107.8,0,Car,50.0,35.9,22.5,171.0,1,10.6,2024-01-15 08:00:19
20,SimDriver_01,1,0,0,0,0,0,0,0,27.9,800,100,5.7,0,139.0,0,Car,52.5,46.3,22.5,174.6,1,12.2,2024-01-15 08:00:20
21,SimDriver_01,1,0,0,0,0,0,0,0,28.0,800,100,6.2,0,134.8,0,Car,55.0,44.9,22.5,178.2,1,13.9,2024-01-15 08:00:21
22,SimDriver_01,1,0,0,0,0,0,0,0,28.2,800,100,6.8,0,137.3,0,Car,57.5,45.8,22.5,181.7,1,15.8,2024-01-15 08:00:22
23,SimDriver_01,1,0,0,0,0,0,0,0,28.3,800,100,7.4,0,141.6,0,Car,60.0,47.2,22.5,185.3,1,17.9,2024-01-15 08:00:23
24,SimDriver_01,1,0,0,0,0,0,0,0,28.4,863,100,8.0,0,156.5,0,Car,62.5,52.2,22.4,188.9,1,20.1,2024-01-15 08:00:24
25,SimDriver_01,1,0,0,0,0,0,0,0,28.6,930,100,8.6,0,170.0,0,Car,65.0,56.7,22.4,192.6,1,22.5,2024-01-15 08:00:25
26,SimDriver_01,1,0,0,0,0,0,0,0,28.7,1000,100,9.2,0,154.8,0,Car,67.5,51.6,22.4,196.2,1,25.0,2024-01-15 08:00:26
27,SimDriver_01,1,0,0,0,0,0,0,0,28.9,1073,100,9.9,0,161.5,0,Car,70.0,53.8,22.4,199.8,1,27.8,2024-01-15 08:00:27
28,SimDriver_01,1,0,0,0,0,0,0,0,29.1,1147,100,10.6,0,185.1,0,Car,72.5,61.7,22.4,203.7,1,30.7,2024-01-15 08:00:28
29,SimDriver_01,1,0,0,0,0,0,0,0,29.2,1224,100,11.3,0,182.4,0,Car,75.0,60.8,22.4,207.5,1,33.9,2024-01-15 08:00:29
30,SimDriver_01,1,0,0,0,0,0,0,0,29.4,1303,100,12.0,0,177.9,0,Car,77.5,59.3,22.3,211.2,1,37.2,2024-01-15 08:00:30
31,SimDriver_01,1,0,0,0,0,0,0,0,29.6,1385,100,12.8,0,210.3,0,Car,80.0,70.1,22.3,215.2,1,40.8,2024-01-15 08:00:31
32,SimDriver_01,1,0,0,0,0,0,0,0,29.8,1469,100,13.6,0,208.6,0,Car,82.5,69.5,22.3,219.2,1,44.5,2024-01-15 08:00:32
33,SimDriver_01,1,0,0,0,0,0,0,0,30.0,1554,100,14.4,0,222.3,0,Car,85.0,74.1,22.3,223.2,1,48.5,2024-01-15 08:00:33
34,SimDriver_01,1,0,0,0,0,0,0,0,30.1,938,100,15.2,0,205.5,0,Car,87.5,68.5,22.3,226.8,2,52.7,2024-01-15 08:00:34
35,SimDriver_01,1,0,0,0,0,0,0,0,30.3,990,100,16.0,0,231.6,0,Car,90.0,77.2,22.2,230.6,2,57.2,2024-01-15 08:00:35
36,SimDriver_01,1,0,0,0,0,0,0,0,30.4,1042,100,16.9,0,227.6,0,Car,92.5,75.9,22.2,234.3,2,61.9,2024-01-15 08:00:36
37,SimDriver_01,1,0,0,0,0,0,0,0,30.6,1096,100,17.7,0,235.4,0,Car,95.0,78.5,22.2,238.1,2,66.8,2024-01-15 08:00:37
38,SimDriver_01,1,0,0,0,0,0,0,0,30.8,1151,100,18.6,0,249.3,0,Car,97.5,83.1,22.1,242.0,2,71.9,2024-01-15 08:00:38
39,SimDriver_01,1,0,0,0,0,0,0,0,30.9,1207,100,19.5,0,239.7,0,Car,100.0,79.9,22.1,245.8,2,77.4,2024-01-15 08:00:39
40,SimDriver_01,1,0,0,0,0,0,0,0,31.2,2211,100,20.4,0,260.0,0,Car,100.0,86.7,22.1,250.1,1,83.0,2024-01-15 08:00:40
41,SimDriver_01,1,0,0,0,0,0,0,0,31.5,2308,100,21.3,0,244.0,0,Car,100.0,81.3,22.1,254.4,1,89.0,2024-01-15 08:00:41
42,SimDriver_01,1,0,0,0,0,0,0,0,31.8,2405,100,22.2,0,260.5,0,Car,100.0,86.8,22.1,258.8,1,95.1,2024-01-15 08:00:42
43,SimDriver_01,1,0,0,0,0,0,0,0,32.1,2501,100,23.1,0,233.6,0,Car,100.0,77.9,22.1,263.0,1,101.5,2024-01-15 08:00:43
44,SimDriver_01,1,0,0,0,0,0,0,0,32.4,2597,100,24.0,0,244.9,0,Car,100.0,81.6,22.0,267.3,1,108.2,2024-01-15 08:00:44
45,SimDriver_01,1,0,0,0,0,0,0,0,32.7,2693,100,24.9,0,252.2,0,Car,100.0,84.1,22.0,271.7,1,115.1,2024-01-15 08:00:45
46,SimDriver_01,1,0,0,0,0,0,0,0,33.0,2787,100,25.7,0,249.7,0,Car,100.0,83.2,22.0,276.0,1,122.3,2024-01-15 08:00:46
47,SimDriver_01,1,0,0,0,0,0,0,0,33.4,2880,100,26.6,0,247.8,0,Car,98.6,82.6,22.0,280.4,1,129.7,2024-01-15 08:00:47
48,SimDriver_01,1,0,0,0,0,0,0,0,33.7,2972,100,27.4,0,241.8,0,Car,97.8,80.6,22.0,284.7,1,137.3,2024-01-15 08:00:48
49,SimDriver_01,1,0,0,0,0,0,0,0,34.1,3063,100,28.3,0,246.3,0,Car,96.9,82.1,22.0,289.0,1,145.1,2024-01-15 08:00:49
50,SimDriver_01,1,0,0,0,0,0,0,0,34.4,3152,100,29.1,0,225.0,0,Car,96.2,75.0,22.0,293.2,1,153.2,2024-01-15 08:00:50
51,SimDriver_01,1,0,0,0,0,0,0,0,34.8,3242,100,29.9,0,247.4,0,Car,97.4,82.5,22.0,297.5,1,161.5,2024-01-15 08:00:51
52,SimDriver_01,1,0,0,0,0,0,0,0,35.2,3330,100,30.8,0,230.3,0,Car,95.7,76.8,22.0,301.7,1,170.1,2024-01-15 08:00:52
53,SimDriver_01,1,0,0,0,0,0,0,0,35.6,3417,100,31.5,0,225.1,0,Car,94.0,75.0,22.0,305.9,1,178.8,2024-01-15 08:00:53
54,SimDriver_01,1,0,0,0,0,0,0,0,36.0,3501,100,32.3,0,222.2,0,Car,92.9,74.1,22.0,310.1,1,187.8,2024-01-15 08:00:54
55,SimDriver_01,1,0,0,0,0,0,0,0,36.4,3587,100,33.1,0,233.7,0,Car,94.7,77.9,22.0,314.4,1,197.0,2024-01-15 08:00:55
56,SimDriver_01,1,0,0,0,0,0,0,0,36.8,3671,100,33.9,0,245.1,0,Car,93.1,81.7,22.0,318.7,1,206.4,2024-01-15 08:00:56
57,SimDriver_01,1,0,0,0,0,0,0,0,37.2,3755,100,34.7,0,238.3,0,Car,92.6,79.4,22.0,323.0,1,216.1,2024-01-15 08:00:57
58,SimDriver_01,1,0,0,0,0,0,0,0,37.7,3839,100,35.4,0,237.7,0,Car,94.3,79.2,22.0,327.2,1,225.9,2024-01-15 08:00:58
59,SimDriver_01,1,0,0,0,0,0,0,0,38.1,3922,100,36.2,0,233.2,0,Car,93.0,77.7,22.0,331.5,1,236.0,2024-01-15 08:00:59
60,SimDriver_01,1,0,0,0,0,0,0,0,38.6,3868,100,35.7,0,30.0,0,Car,0.0,10.0,22.1,334.3,1,245.9,2024-01-15 08:01:00
61,SimDriver_01,1,0,0,0,0,0,0,0,39.0,3814,100,35.2,0,30.0,0,Car,0.0,10.0,22.1,337.1,1,255.7,2024-01-15 08:01:01
62,SimDriver_01,1,0,0,0,0,0,0,0,39.4,3760,100,34.7,0,30.0,0,Car,0.0,10.0,22.2,339.8,1,265.3,2024-01-15 08:01:02
63,SimDriver_01,1,0,0,0,0,0,0,0,39.8,3705,100,34.2,0,30.0,0,Car,0.0,10.0,22.3,342.4,1,274.8,2024-01-15 08:01:03
64,SimDriver_01,1,0,0,0,0,0,0,0,40.3,3651,100,33.7,0,30.0,0,Car,0.0,10.0,22.3,345.0,1,284.2,2024-01-15 08:01:04
65,SimDriver_01,1,0,0,0,0,0,0,0,40.7,3597,100,33.2,0,30.0,0,Car,0.0,10.0,22.4,347.6,1,293.4,2024-01-15 08:01:05
66,SimDriver_01,1,0,0,0,0,0,0,0,41.1,3543,100,32.7,0,30.0,0,Car,0.0,10.0,22.5,350.1,1,302.5,2024-01-15 08:01:06
67,SimDriver_01,1,0,0,0,0,0,0,0,41.5,3489,100,32.2,0,30.0,0,Car,0.0,10.0,22.5,352.5,1,311.5,2024-01-15 08:01:07
68,SimDriver_01,1,0,0,0,0,0,0,0,41.9,3435,100,31.7,0,30.0,0,Car,0.0,10.0,22.6,354.9,1,320.3,2024-01-15 08:01:08
69,SimDriver_01,1,0,0,0,0,0,0,0,42.2,3380,100,31.2,0,30.0,0,Car,0.0,10.0,22.7,357.3,1,328.9,2024-01-15 08:01:09
70,SimDriver_01,1,0,0,0,0,0,0,0,42.6,3326,100,30.7,0,30.0,0,Car,0.0,10.0,22.7,359.5,1,337.5,2024-01-15 08:01:10
