Time_1s,Driver_ID,LapID,GPS Longitude,GPS Latitude,GPS Bearing,Accelerometer (Total),Accelerometer (X),Accelerometer (Y),Accelerometer (Z),Coolant,RPM,Altitude(GPS),OBD Speed,kff1298,Torque,F_M,AuthorisedClass,Throttle_Position,Engine_Load,Intake_Air_Temp,Catalyst_Temperature,Gear,Trip_Distance_m,Timestamp
0,SimDriver_01,1,0,0,0,0,0,0,0,25.1,850,100,0.0,0,30.0,0,Car,2.5,10.0,22.5,103.6,1,0.0,2024-02-12 08:00:00
1,SimDriver_01,1,0,0,0,0,0,0,0,25.3,900,100,0.1,0,30.0,0,Car,5.0,10.0,22.5,107.2,1,0.0,2024-02-12 08:00:01
2,SimDriver_01,1,0,0,0,0,0,0,0,25.4,950,100,0.1,0,30.0,0,Car,7.5,10.0,22.5,110.8,1,0.1,2024-02-12 08:00:02
3,SimDriver_01,1,0,0,0,0,0,0,0,25.6,1000,100,0.2,0,30.0,0,Car,10.0,10.0,22.5,114.4,1,0.1,2024-02-12 08:00:03
4,SimDriver_01,1,0,0,0,0,0,0,0,25.7,1050,100,0.4,0,30.0,0,Car,12.5,10.0,22.6,118.0,1,0.2,2024-02-12 08:00:04
5,SimDriver_01,1,0,0,0,0,0,0,0,25.9,1100,100,0.5,0,33.3,0,Car,15.0,11.1,22.6,121.6,1,0.4,2024-02-12 08:00:05
6,SimDriver_01,1,0,0,0,0,0,0,0,26.1,1150,100,0.7,0,30.0,0,Car,17.5,10.0,22.6,125.2,1,0.6,2024-02-12 08:00:06
7,SimDriver_01,1,0,0,0,0,0,0,0,26.2,1200,100,0.9,0,52.1,0,Car,20.0,17.4,22.6,128.9,1,0.8,2024-02-12 08:00:07
8,SimDriver_01,1,0,0,0,0,0,0,0,26.4,800,100,1.1,0,69.0,0,Car,22.5,23.0,22.6,132.4,1,1.1,2024-02-12 08:00:08
9,SimDriver_01,1,0,0,0,0,0,0,0,26.5,800,100,1.4,0,54.5,0,Car,25.0,18.2,22.6,135.9,1,1.5,2024-02-12 08:00:09
10,SimDriver_01,1,0,0,0,0,0,0,0,26.6,800,100,1.6,0,77.1,0,Car,27.5,25.7,22.6,139.4,1,2.0,2024-02-12 08:00:10
